,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
5684817723169964056,Google's artificial intelligence is going in the wrong direction,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Making Sense of Unstructured Data with Google Cloud NL API,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
5688279681867464747,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)","contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object",Shopping app Spring's redesign could be a game-changer,Measuring email effectiveness in retail banking,Google researchers teach AIs to see the important parts of images - and tell you about them,Nubank começa a testar seu programa de fidelidade - Empresas Tech
5701873751630396950,Apresentação da nova placa de desenvolvimento Arduino MKRZero -,Kickstarter 3D printer will print circuit boards as part of your designs,Google Maps agora mostra se local tem entrada com acessibilidade | Google Discovery,Medindo vazão utilizando sensor ultra-sônico de distância - Embarcados,OpenVpn rodando com Docker no Raspberry Pi,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES
5714314286511882372,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Samsung se alia a bancos para lançar pagamento por celular no Brasil,"SulAmérica continua investindo, apesar da crise - Sonho Seguro",The economic essentials of digital strategy,This is the scientific reason we're addicted to our phones,Mobile Time
5714874452041944640,Android Studio 2.0 | Android Developers Blog,Optimizing the Performance of Vector Drawables - upday devs,Um misterioso vórtice escuro surgiu sobre Netuno,Google makes building apps easier with Android Studio 2.0,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Practical VPC Design - AWS Startup Collection
5719793245136119929,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Nubank envia Pikachu para cliente que pediu desbloqueio de cartão e do Pokémon Go,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Moovit's new Facebook chatbot for transport proves v0 is not going to be good,Visa lança desafio para startups de tecnologia - Startupi,CMN regulamenta abertura de conta de depósito por meio eletrônico
5726008417498979736,[Framework] Lean IT Governance,[Coursera] Introduction to Communication Science - University of Amsterdam | Coursera,[Tools] XMind Plus - Last Chance for students' 1$ gift,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera
5728858831120768412,"New functional programming language can generate C, Python code for apps",Million Song Dataset | scaling MIR research,A Neural Network that Dreams in Resumes - untapt blog,AI Revolution 101 - AI Revolution,TPOT: A Python tool for automating data science,Blaise Agüera y Arcas: How computers are learning to be creative
5787934590133549357,Ouça a música criada pela inteligência artificial do Google | Google Discovery,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery",Google is quietly recording everything you say. Here's how to hear it,Stay focused with Google Calendar event notifications in your browser,YouTube's New Messenger Means You'll Never Have to Leave YouTube,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery
5795281877636738272,Microsoft's Open Source Love Affair Reaches New Heights,Alecrim/AlecrimCoreData,The next wave in software is open adoption software,Our password hashing has no clothes,Decentralizing IoT networks through blockchain,IBM's Watson aims to make hospital stays suck a whole lot less
5806996498600223274,[Teste] Quer saber como está seu português? - Runrun.it Blog,Write Like You Talk,Dicionário Priberam da Língua Portuguesa,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Number26 raises another $40 million for its vision for the future of banking,Clickpag agora é Rede Pay
5816734694927565572,Bot Design Patterns,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,The next wave in software is open adoption software,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,The Business Case for Progressive Web Apps
5822211783543822544,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,"Apple acquires Turi, a machine learning company","If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Slice Labs raises $3.9M to insure on-demand workers when they're on the job,Google HR chief Laszlo Bock leaving to launch startup,Apple is working on an AI system that wipes the floor with Google and everyone else
5831479026588423198,Google Unveiled A Partnership With Levi's To Create Smart Clothing,The Biggest list of 35 FREE UX Books,The economic essentials of digital strategy,Samsung se alia a bancos para lançar pagamento por celular no Brasil,Hero unveils a new home gadget to help you track and dispense pills,Mobile Time
5842191581670322333,3 Pillars of the Most Successful Tech Products,Introducing JQL: A Query Language for Analytics,TI Bimodal? Receita para o desastre...,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",Uma recepção eficiente,Why Steve Jobs Was Proud to Steal Ideas
5843362068320522769,ClienteSA - Gente - Empatia e tecnologia,Former Google career coach shares a visual trick for figuring out what to do with your life,Amazon has a huge opportunity in grocery delivery,The Real Product Market Fit,Para entender o Dia Internacional contra a Homofobia,How This Googler Redesigned The Workweek
5847042211895226591,Elastic Stack 5.0.0 Released,Million Song Dataset | scaling MIR research,GitHub on BigQuery: Analyze all the open source code,Web Share API,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Hintjens.com
5847540986736720765,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Singapore bank wants you to talk to its chatbot to get your banking done,Visa lança desafio para startups de tecnologia - Startupi
5849490334294127641,gotwarlost/istanbul,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js
5854206600849997966,The hardest thing in computer science,Things you probably didn't know you could do with Chrome's Developer Console,"Autofill: What web devs should know, but don't",The Importance of Code Reviews,Joel on Software,Why Programmers Want Private Offices
5875183869203898283,Google is quietly recording everything you say. Here's how to hear it,Tango: See more with a new kind of phone,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more",Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Ouça a música criada pela inteligência artificial do Google | Google Discovery
5901067357946111913,Comprar roupas está ficando fora de moda no Reino Unido,"National Coming Out Day - Wikipedia, the free encyclopedia","contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object",Netshoes é grande vencedora do Prêmio BR Week 2016,A ESTRATÉGIA DA C&A PARA VENCER A CRISE - brweek,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
5906767912084571064,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,"Facebook sends a loud message about Messenger bots, but will we hear it?",Google's artificial intelligence is going in the wrong direction,Making Sense of Unstructured Data with Google Cloud NL API,How I got into the top 15 of a Kaggle competition in 3 days: A Python Tutorial,Restb.ai: Why custom computer vision as a service makes sense | ZDNet
5928346445655989915,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,[Videos] Bill Gross: The single biggest reason why startups succeed,[Tools] How to Record your Desktop Screen with YouTube,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",Presenting to the Boss(es) | Pluralsight,Sony Smart Tennis Sensor for Tennis Rackets
5930806521893160184,Five things to include in your digital transformation playbook,What is IT's role in digital transformation?,Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry,GE Digital snags ServiceMax for $915 million,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Confirmed: Walmart buys Jet.com for $3B in cash
5934557073194045393,Google's Cloud Investments are Finally Starting to Pay Off,Kubernetes,Enable secure mode on your web product | Intercom Docs,Automation and anxiety,The return of the machinery question,"How I built an app with 500,000 users in 5 days on a $100 server"
5940374562401786524,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Comprar roupas está ficando fora de moda no Reino Unido,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Correios lança serviço de logística integrada para e-commerce - IDG Now!,Program your way to your next grocery delivery
5949788789046720741,How to use Docker to run ASP.NET Core apps on Google App Engine,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,"Agility in the Cloud: Which ""As a Service"" Works for You?",Introduction · Bitcoin para Programadores,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Perfect Menu for Mobile Apps - UX Planet
5962268176939710955,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Google lags behind Amazon and Microsoft's cloud in one important area,Graph Capabilities with the Elastic Stack,5 Unique Features Of Google Compute Engine That No IaaS Provider Could Match,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Building immutable entities into Google Cloud Datastore
5964888566269323942,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,How to Create an Exponential Mindset,Accenture and Adboe team on customer enegagement,"""Empresas inovadoras não fazem produtos - constroem conceitos que se tornam experiências irresistíveis""",The economic essentials of digital strategy
5965544132537436406,Kubernetes,To Use Physical Or To Use Virtual: That is the container deployment question,How Green Was My Valley (1941),"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",TEDxSãoPaulo,An MIT Algorithm Predicts the Future by Watching TV
5979676385148714519,"Here's what Viv looks like, the next generation AI assistant built by Siri creator","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",How the Communicator's Dilemma Made a 'Slack-lash' Inevitable,Google IO 2016: A look at how not to run a large event,What SWAG will Google I/O 2016 attendees take home?,Ray Kurzweil Predicts Three Technologies Will Define Our Future
6001127456099879458,Visual Studio Code Now Supports Debugging of iOS Web Apps,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Medindo vazão utilizando sensor ultra-sônico de distância - Embarcados,OpenVpn rodando com Docker no Raspberry Pi,Android Quickstart - Firebase,Apresentação da nova placa de desenvolvimento Arduino MKRZero -
6009447229221815725,[Tools] How to Record your Desktop Screen with YouTube,[Videos] Bill Gross: The single biggest reason why startups succeed,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",Sony Smart Tennis Sensor for Tennis Rackets,Presenting to the Boss(es) | Pluralsight
6015995473246774717,The need to lead in data and analytics,Global Data Bank é lançado internacionalmente com operação no Brasil,Especial: 5 startups brasileiras que podem tornar-se Unicórnios,Meet the new Brazilian consumer,1% das empresas dominam 94% das receitas na App Store,An operating model for company-wide agile development
6016376495317032228,Uma recepção eficiente,Why Steve Jobs Was Proud to Steal Ideas,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,Google's official Project Wing logo revealed,Introducing JQL: A Query Language for Analytics,"Google acquires Synergyse, an interactive training service for Google Apps"
6031953227014493100,O chefe é gay. E daí?,The Genderbread Person v3 | It's Pronounced Metrosexual,O dia em que tive mais medo de estar errada.,#Sentaquelávemtextão,Sul dos EUA descobre consequências econômicas da homofobia | EXAME.com,Promoting gender equality through emoji �� ��
6040574489860277999,"The new, scary face of auto insurance",Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,Singapore bank wants you to talk to its chatbot to get your banking done,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle
6044362651232258738,Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Digital Health Coaching,O que você deve fazer para se tornar um líder melhor?
6062146090334604102,Serverless Data Sync in Web Apps with Bit Torrent,Measuring email effectiveness in retail banking,Google researchers teach AIs to see the important parts of images - and tell you about them,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Google Fiber agrees to acquire Webpass,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object"
6090089162789916215,O início problemático dos chatbots no Facebook Messenger,Google researchers teach AIs to see the important parts of images - and tell you about them,"Google Cloud Platform adds two new regions, 10 more to come","Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Veja como funciona o assistente da Adobe que faz edições com comandos de voz,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object"
6094778865705471594,MOBILE TIME - Santander lança app dedicado aos clientes do ensino superior,"XP lançará robô que seleciona melhores investimentos para clientes, diz CEO",VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,"""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living",Banks find blockchain hard to put into practice - FT.com,Singapore bank wants you to talk to its chatbot to get your banking done
6097677219931837830,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Para inovar é preciso mais do que boas ideias - Startupi,What readers think about computer-generated texts,Building AI Is Hard-So Facebook Is Building AI That Builds AI,How Apple Keyboards Lost a Logo and Windows PCs Gained One,"Desenvolvendo Android, por onde começar? - Android Dev BR"
6099026883115865746,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Facebook Thinks It Has Found the Secret to Making Bots Less Dumb,"Bot do Facebook Messenger simula entrevista para o processo de ""3%""",OpenAI technical goals,Bot da Chevrolet te ajuda a alcançar as resoluções de ano novo,Google Now on Tap estreia no Brasil | Google Discovery
6104598399077154797,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Swift Top 10 Articles For The Past Year (v.2017),Perfect Menu for Mobile Apps - UX Planet,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,20+ Docs and Guides for Front-end Developers (No. 9),Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi
6109135203991499571,Um programador automatizou seu trabalho e passou 6 anos sem fazer nada | Tecnoblog,10 Free Screen Readers For Blind Or Visually Impaired Users - Usability Geek,A nova marca da HP foi criada (e rejeitada) 5 anos atrás,"Cozmo Is the Smartest, Cutest AI-Powered Robot You've Ever Seen",Introducing Sign in with Slack - Slack Platform Blog,Aggregations
6152652267138213180,Staying one step ahead at Pixar: An interview with Ed Catmull,Accept questions from your audience when presenting in Google Slides,An operating model for company-wide agile development,7 lessons about finding the work you were meant to do,Ordering coffee in Italy: the 10 commandments,The 24 best restaurants in New York City
6153710684104095269,"Testes mostram um ótimo desempenho do ""Ubuntu on Windows""",Accidental discovery could help batteries last years longer,Browser Trends December 2016: Mobile Overtakes Desktop,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,HHVM vs PHP 7 - The Competition Gets Closer - Kinsta,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform"
6157037646878010131,Rede Agricultura de Precisão II,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Artigos e Palestras - Programa Agricultura de Precisão do SENAR,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre",Will blockchain drive the fourth Industrial Revolution?
6162786478796754684,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,"""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living","Desenvolvendo Android, por onde começar? - Android Dev BR",Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,Google encerra Hangouts On Air e migra transmissões ao vivo para YouTube - Google,Bradesco vai testar tecnologia por trás do bitcoin em São Paulo
6186282670048283099,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,Taking Microservices Home - NGINX,Creating Your Code Review Checklist - DaedTech,Serverless real-time architecture on AWS: there is a way !,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",Angular 2 versus React: There Will Be Blood - Free Code Camp
6195056361889291497,Addressing Accessibility for the Web,Dries Buytaert,Announcing pricing for Google Stackdriver,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Meet Aquifer: A build system for easier Drupal development,Dries Distributions remain a growing opportunity for Drupal - Buytaert
6198232071580299480,Empresas intensificam operações de barter diante da dificuldade de crédito,Cientistas trabalham em técnica que permite imprimir alimentos,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Will blockchain drive the fourth Industrial Revolution?,'Robô-rancheiro' conseguirá cuidar sozinho de fazendas de gado,"Consórcio: Venda de novas cotas cai 13,5% no 1º trimestre"
6201946560186605500,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,"The new, scary face of auto insurance",Singapore bank wants you to talk to its chatbot to get your banking done,Accenture and Adboe team on customer enegagement
6215963711332976380,Global Data Bank é lançado internacionalmente com operação no Brasil,Accenture amplia atuação no Brasil,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Meet the new Brazilian consumer,Mobile Time,Especial: 5 startups brasileiras que podem tornar-se Unicórnios
6222001809679591440,Blockchain startup R3 cuts fund-raising target to $150 million: source,4 Blockchain Macro Trends: Where to Place Your Bets,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,American Express ... and the Book of Mormon - Chris Skinner's blog,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk
6227065897176996407,6 New Tech Gadgets That Will Simplify Your Life in 2017,"Signs suggest that 101Hero, the $49 3D printer, was too good to be true",Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Introduction · Bitcoin para Programadores
6234756865145917449,Suzana Herculano-Houzel deixa o Brasil e expõe problemas profundos da ciência no país,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Coder | Drupal.org,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Neural networks are inadvertently learning our language's hidden gender biases,Resenha - A Chegada
6236312923258954569,5 Asian Trends for 2017,"Desenvolvendo Android, por onde começar? - Android Dev BR",Veja como funciona o assistente da Adobe que faz edições com comandos de voz,"Facebook apresenta o Creative Hub, atualiza Canvas e SlideShow",Building AI Is Hard-So Facebook Is Building AI That Builds AI,How Apple Keyboards Lost a Logo and Windows PCs Gained One
6237433897543964784,"Facebook details its company-wide machine learning platform, FBLearner Flow",How to Think Exponentially and Better Predict the Future,How Airbnb uses Machine Learning to Detect Host Preferences - Airbnb Engineering & Data Science,Designing smart notifications,Big IT Rising,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com
6241723672990266258,Spring DAO vs Spring ORM vs Spring JDBC,JavaServer Faces 2.3 Quick Reference - DZone Java,Docker 1.12: Now with Built-in Orchestration!,Combining Spring Boot and JDBI,What's the Version of my Deployed Application? - DZone DevOps,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi
6244532954645766056,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk,4 Blockchain Macro Trends: Where to Place Your Bets,Blockchain startup R3 cuts fund-raising target to $150 million: source,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Google e GFT firmam parceria para testes com foco em blockchain - Startupi
6245165134513326654,ASSISTA: show une 100 drones e uma orquestra sinfônica para quebrar recorde mundial | VIP,"Facebook sends a loud message about Messenger bots, but will we hear it?",Google lança Cloud Functions,CoreOS's rkt Container Engine Hits 1.0,The Top 10 Most Common Mistakes That Node.js Developers Make,Spotify's Event Delivery - The Road to the Cloud (Part III)
6247175512001835023,SpotHero is ready for the future of autonomous parking,Three Lessons for Design-Driven Success,UX ou UI?,Portal Abrasce - Conhecendo o frequentador de shopping center,The future of the shopping mall,Design Kit: Prototyping
6255978182562760059,Java Collections Cheat Sheet,Auto-scaling scikit-learn with Spark,IBM Seeks to Simplify Graph with New Titan Service,OpenAI technical goals,From Google to the world: the Kubernetes origin story,To Be Continued: Helping you find shows you want to continue watching
6285786669275987455,Dicionário Priberam da Língua Portuguesa,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",A Beginner's Guide To Understanding Convolutional Neural Networks,"Need Some AI? Yeah, There's a Marketplace for That",Sesi oferece curso de LIBRAS com certificação de 40 horas,[Teste] Quer saber como está seu português? - Runrun.it Blog
6304895356046683527,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Spark comparison: AWS vs. GCP,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Google's Cloud Machine Learning service is now in public beta,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure","Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too"
6317717254029043123,Apple makes it easier to for developers to upload app screenshots via iTunes Connect,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Here are the SDKs Top Mobile Apps Use,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Soylent's new drink will replace your breakfast and morning coffee,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView
6340108943344143104,Text summarization with TensorFlow,Infrequently Noted,Chrome extension brings Medium's best feature to the whole Web,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",Twitter adds a button to help you train its algorithm,Google IO 2016: A look at how not to run a large event
6369367631770966886,Como a Netflix influencia o que você vai assistir através de imagens,Lists are the new search,What Pinterest learned in two years working on its search engine,How We Lost 47% of Our Users After a Redesign | Icons8,This CEO Runs a Billion-Dollar Company With No Offices or Email,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
6384824828701919724,14 Cool Drupal 8 modules for site builders | August 2016,Release Day: Extend Drupal 8 with Plugins,Dries Buytaert: Advancing Drupal's web services,"Handling context in ""outside-in""",Google's new translation software is almost as good as human translators,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!)
6389624212149850449,Using TensorFlow and JupyterHub in Classrooms,Restb.ai: Why custom computer vision as a service makes sense | ZDNet,"Google I/O: Expect A.I., virtual reality","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",What SWAG will Google I/O 2016 attendees take home?,Ray Kurzweil Predicts Three Technologies Will Define Our Future
6412479507689487223,Microsoft's new online certification program kicks off with data science specialization | ZDNet,AI Revolution 101 - AI Revolution,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Deck describing how MSFT plans to use Linkedin,Cognitive Services-Intelligence Applications | Microsoft Azure,IBM's Watson aims to make hospital stays suck a whole lot less
6419848550542384295,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Cloud Storage Goes Mainstream: Storj Launches Beta Joining Azure BaaS,Google Cloud Platform: The smart person's guide - TechRepublic,How To Benefit From Getting Paid in Bitcoin,Design Patterns: Progressive Disclosure for Mobile Apps,Características de Arquiteturas Evolutivas
6424668376409530281,Docker inside docker and overview about Jenkins 2,Docker Cleanup Scripts Comparison,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Google connects BigQuery to Google Drive and Sheets,Google Is About to Supercharge Its TensorFlow Open Source AI,Behind Facebook Messenger's plan to be an app platform
6426224004219108539,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Netflix emociona com vídeo destacando personagens LGBT,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","No dia das mães, Avon lança campanha com mãe de jovem gay"
6437568358552101410,Tech in Brazil is booming despite the country's political troubles,The Joel Test: 12 Steps to Better Code,The barbell effect of machine learning.,A Beginner's Guide To Understanding Convolutional Neural Networks,What Color is Your Function?,Apple is working on an AI system that wipes the floor with Google and everyone else
6463551093741815202,"Little girls doubt that women can be brilliant, study shows",Incendies (2010),Workplace diversity in Brazil: there's still a long way to go,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Plano nacional de ''internet das coisas'' sai em fevereiro
6472331784294749716,10 Breakthrough Technologies 2016: DNA App Store,"Pelo sétimo mês consecutivo, fluxo de visitantes a shopping centers recua | VEJA.com",The Pulse of a City - Uber Engineering Blog,Blockchain Will Be Used By 15% of Big Banks By 2017,What do Design Thinking and Marketing have in common?,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave"
6492104262016302259,"Código Google: Provedor de segurança ""Crypto"" descontinuado no Android N",Optimizing the Performance of Vector Drawables - upday devs,StrictMode for Runtime Analysis on Android - Google Developers,Um misterioso vórtice escuro surgiu sobre Netuno,Como o Facebook testa o impacto que a atualização dos apps têm na bateria dos smartphones,Android irá recomendar aplicativos baseado na localização | Google Discovery
6504364365389213533,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Carros conectados impulsionarão diferentes indústrias | Sonho Seguro,Cientistas trabalham em técnica que permite imprimir alimentos,The future of agriculture - Jim Womack visits a lean farm,Creating value in auto finance with vLendRight | Kevin Moseri
6519443272707698315,Two Different Sales Motions . . . .,Nintendo has doubled in value since Pokémon Go's release,"Telecoms open shop on Madison Avenue, but will brands buy?","contentId
-4975645025178552956    Sem Parar vs Conectcar - DanBP.org
-4975645025178552956                Sem Parar vs Conectcar
Name: title, dtype: object",The return of the machinery question,An operating model for company-wide agile development
6521856301289868251,Notes on Reactive Programming Part I: The Reactive Landscape,Ethereum Used for 'First' Paid Energy Trade Using Blockchain Tech - CoinDesk,Alecrim/AlecrimCoreData,"STEMTera, uma protoboard com Arduino Uno embutido",CSS Containment in Chrome 52 | Web Updates - Google Developers,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
6524157088939139948,Practical VPC Design - AWS Startup Collection,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%)
